serverId,user1,user2,user3,user4,rsType,timeStamp,queue
ff3b36757ea8b5e6,4db3d6955dc271ef,47f2a3d283f41061,c75f182ee2521ca3,"",9.5,1713077815,0
ff3b36757ea8b5e6,47f2a3d283f41061,4db3d6955dc271ef,601b6d8c4e1f0d63,"",9.5,1713082107,0
e8d9342910654a8e,dfe9de9fe81a7848,a5573e71b7d02831,d40a75635b2a1c67,"",9.5,1713087946,0
ff3b36757ea8b5e6,4c4d5c01c43904a7,9cd4532ceb129298,bc4ca771d95c6473,"",9.5,1713088197,0
e8d9342910654a8e,a5573e71b7d02831,cb89a51f042b6621,"","",9.5,1713090229,0
ff3b36757ea8b5e6,d545068c03a69e3f,d2c511a39f55defc,27a6430a7f7b62f3,"",11.5,1713094362,0
e8d9342910654a8e,fa8edd7354bc6abb,"","","",7.5,1713097221,0
e8d9342910654a8e,fa8edd7354bc6abb,"","","",7.5,1713098965,0
ff3b36757ea8b5e6,81c70692ac7c5fdb,551c6a3a81d5eb56,11de803b6629a3c5,"",11.5,1713099366,0
ff3b36757ea8b5e6,380f8bf4ebac7482,11de803b6629a3c5,4db3d6955dc271ef,"",11.5,1713101368,0
ff3b36757ea8b5e6,380f8bf4ebac7482,4db3d6955dc271ef,601b6d8c4e1f0d63,"",11.5,1713102671,0
ff3b36757ea8b5e6,380f8bf4ebac7482,601b6d8c4e1f0d63,67ef5dfe7dc1b14f,"",11.5,1713103449,0
ff3b36757ea8b5e6,820d0ab06c6133e3,11de803b6629a3c5,e1d131b09382e39c,"",9.5,1713103547,0
ff3b36757ea8b5e6,3b169e7b58504016,27a6430a7f7b62f3,380f8bf4ebac7482,"",11.5,1713104039,0
ff3b36757ea8b5e6,3b169e7b58504016,27a6430a7f7b62f3,11de803b6629a3c5,"",11.5,1713105285,0
ff3b36757ea8b5e6,27a6430a7f7b62f3,4db3d6955dc271ef,380f8bf4ebac7482,"",11.5,1713108817,0
ff3b36757ea8b5e6,98ec57408529c0de,d545068c03a69e3f,380f8bf4ebac7482,"",11.5,1713111910,0
e8d9342910654a8e,d40a75635b2a1c67,1ffd271f9bc513d7,8dc0a5cf66847fea,"",9.5,1713112069,0
ff3b36757ea8b5e6,3b169e7b58504016,380f8bf4ebac7482,4c4d5c01c43904a7,"",11.5,1713113660,0
ff3b36757ea8b5e6,dd88ece1afdff4fb,0516be96ef720a96,e09c04e340bae550,"",9.5,1713117644,0
